NAME,id,revenue_x,revenue_y
... Has Fallen Collection,2.0,366780087.0,183390043.5
00 Schneider Filmreihe,1.0,0.0,0.0
100 Girls Collection,2.0,0.0,0.0
101 Dalmatians (Animated) Collection,2.0,215880014.0,107940007.0
101 Dalmatians (Live-Action) Collection,2.0,504301065.0,252150532.5
12 Rounds Collection,3.0,17280326.0,5760108.666666667
1920 Collection,2.0,0.0,0.0
2 Days In... Collection,2.0,21429951.0,10714975.5
20th Century Boys Collection,3.0,31244858.0,10414952.666666666
28 Days/Weeks Later Collection,2.0,146958325.0,73479162.5
3 Men (Original) Collection,1.0,2052466.0,2052466.0
3 Men Collection,2.0,0.0,0.0
30 Days of Night Collection,2.0,75505973.0,37752986.5
300 Collection,2.0,760190470.0,380095235.0
48 Hrs. Collection,2.0,232387482.0,116193741.0
8MM Collection,2.0,96618699.0,48309349.5
9½ Weeks Collection,2.0,6735922.0,3367961.0
A Better Tomorrow Collection,3.0,4469460.0,1489820.0
A Chinese Ghost Story Collection,3.0,0.0,0.0
A Christmas Story Collection,2.0,19294144.0,9647072.0
A Goofy Movie Collection,2.0,35348597.0,17674298.5
A Haunted House Collection,2.0,60141683.0,30070841.5
A Nightmare on Elm Street Collection,8.0,363591558.0,45448944.75
AVP Collection,2.0,212980929.0,106490464.5
Ace Ventura Collection,3.0,319602929.0,106534309.66666667
Aces Go Places Collection,1.0,0.0,0.0
Addams Family Collection,3.0,240421469.0,80140489.66666667
Adventures of Mowgli,2.0,0.0,0.0
Afro Samurai Collection,2.0,0.0,0.0
Agent Cody Banks Collection,2.0,87614809.0,43807404.5
Air Bud Collection,5.0,33368615.0,6673723.0
Airplane Collection,2.0,110604073.0,55302036.5
Airport Collection,4.0,190504839.0,47626209.75
Aladdin Collection,3.0,504050219.0,168016739.66666666
Alex Cross Collection,3.0,196059666.0,65353222.0
Alice in Wonderland Collection,2.0,1324861194.0,662430597.0
Alien Collection,4.0,610021801.0,152505450.25
Alien Nation Collection,6.0,32155047.0,5359174.5
Alienation Trilogy,3.0,0.0,0.0
All Dogs Go to Heaven Collection,3.0,35720705.0,11906901.666666666
All for ...,1.0,0.0,0.0
Allan Quatermain Collection,2.0,238227.0,119113.5
Almighty Collection,2.0,657572835.0,328786417.5
Alone in the Dark Collection,2.0,10442808.0,5221404.0
Alpha and Omega Collection,3.0,39300000.0,13100000.0
Alvin and the Chipmunks Collection,4.0,1380957626.0,345239406.5
American Graffiti Collection,2.0,155014674.0,77507337.0
American Ninja Collection,5.0,10499694.0,2099938.8
American Pie (Spin-off) Collection,4.0,0.0,0.0
American Pie Collection,4.0,989475386.0,247368846.5
American Psycho Collection,2.0,34266564.0,17133282.0
An American Girl Collection,10.0,0.0,0.0
Anaconda Collection,4.0,207878665.0,51969666.25
Analyze Collection,2.0,231888793.0,115944396.5
Anchorman Collection,3.0,264223203.0,88074401.0
Angelique Collection,1.0,0.0,0.0
Anglo-Zulu War Collection,2.0,8000000.0,4000000.0
Animation Runner Kuromi (OAV collection),2.0,0.0,0.0
Aniskin Collection,1.0,0.0,0.0
Anja & Viktor Collection,1.0,0.0,0.0
Annabelle Collection,1.0,255273813.0,255273813.0
Annika Bengtzon Collection,3.0,0.0,0.0
Another Gay Movie Collection,2.0,745327.0,372663.5
Ant-Man Collection,1.0,519311965.0,519311965.0
Antboy Collection,2.0,0.0,0.0
Ants in the Pants Collection,2.0,0.0,0.0
Appleseed Collection,3.0,1461989.0,487329.6666666667
Armitage III Collection,1.0,0.0,0.0
Armour of God Collection,3.0,0.0,0.0
Arn collection,2.0,0.0,0.0
Arthur Collection,2.0,110142874.0,55071437.0
Arthur and the Invisibles Collection,3.0,107944236.0,35981412.0
Assassination Classroom Collection,1.0,0.0,0.0
Asterix and Obelix (Animation) Collection,9.0,0.0,0.0
Asterix and Obelix Collection,4.0,245671613.0,61417903.25
Atlantis Collection,2.0,186053725.0,93026862.5
Atlas Shrugged Collection,4.0,5474079.0,1368519.75
Ator Collection,4.0,0.0,0.0
Attack on Titan Collection,2.0,0.0,0.0
Austin Powers Collection,3.0,675279506.0,225093168.66666666
Avatar Collection,1.0,2787965087.0,2787965087.0
Azumi Collection,2.0,0.0,0.0
Babe Collection,2.0,323266770.0,161633385.0
Babylon 5 Collection,7.0,0.0,0.0
Babysitting,2.0,0.0,0.0
Bachelor Party Collection,2.0,38435947.0,19217973.5
Back to the Future Collection,3.0,957637345.0,319212448.3333333
Bad Ass Collection,3.0,0.0,0.0
Bad Boys Collection,2.0,414746580.0,207373290.0
Bad Kids Collection,2.0,0.0,0.0
Bad Santa Collection,2.0,94271067.0,47135533.5
Bahubali Collection,2.0,330000000.0,165000000.0
Balto Collection,3.0,11348324.0,3782774.6666666665
Bambi Collection,2.0,267447150.0,133723575.0
Bang Rajan Collection,1.0,0.0,0.0
Barbarian Queen Collection,2.0,0.0,0.0
Barbershop Collection,3.0,195882105.0,65294035.0
Barbie A Mermaid Tale Collection,2.0,31930745.0,15965372.5
Basic Instinct Collection,2.0,391556702.0,195778351.0
Basket Case Collection,3.0,0.0,0.0
Batman (DC Universe Animated) Collection,3.0,5617391.0,1872463.6666666667
Batman Collection,4.0,1266085190.0,316521297.5
Batman Unlimited Collection,3.0,0.0,0.0
Batman: The Dark Knight Returns Collection,2.0,0.0,0.0
Battle Royale Collection,2.0,25000000.0,12500000.0
Battlestar Galactica (Reboot) Collection,2.0,0.0,0.0
Beastmaster Collection,2.0,14925853.0,7462926.5
Beauty and the Beast Collection,2.0,377350553.0,188675276.5
Beethoven Collection,7.0,265457115.0,37922445.0
Before... Collection,3.0,32704489.0,10901496.333333334
Begotten Collection,1.0,0.0,0.0
Behind Enemy Lines Collection,4.0,91753202.0,22938300.5
Benvenuti al... Collection,2.0,100584679.0,50292339.5
Berserk: Golden Age Arc,3.0,0.0,0.0
Best Exotic Marigold Hotel Collection,2.0,222814422.0,111407211.0
Best of the Best Collection,2.0,6500000.0,3250000.0
Beverly Hills Chihuahua Collection,3.0,161281606.0,53760535.333333336
Beverly Hills Cop Collection,3.0,735534503.0,245178167.66666666
Big Man Collection,2.0,0.0,0.0
Billa Collection,2.0,0.0,0.0
Bionicle Collection,4.0,0.0,0.0
Birdemic Collection,2.0,0.0,0.0
Black Emanuelle Collection,7.0,0.0,0.0
Blacula Collection,2.0,0.0,0.0
Blade Collection,3.0,415098928.0,138366309.33333334
Blade Runner Collection,1.0,33139618.0,33139618.0
Blair Witch Collection,3.0,293172994.0,97724331.33333333
Bleach (Collection),2.0,0.0,0.0
BloodRayne Collection,3.0,2405420.0,801806.6666666666
Bloodfight,1.0,0.0,0.0
Bloodsport Collection,4.0,12490470.0,3122617.5
Born Free Trilogy,2.0,0.0,0.0
Born To Race Collection,2.0,0.0,0.0
Boston Blackie Series,1.0,0.0,0.0
Brancaleone Collection,2.0,1314230.0,657115.0
Brice Collection,2.0,0.0,0.0
Bridget Jones Collection,3.0,534085235.0,178028411.66666666
Bring It On Collection,5.0,90449929.0,18089985.8
Brooklyn Cigar Store Collection,2.0,9624430.0,4812215.0
Brother Bear Collection,2.0,0.0,0.0
Bummer Collection,2.0,1600000.0,800000.0
Burnt by the Sun Trilogy,2.0,2616503.0,1308251.5
Caddyshack Collection,2.0,39846344.0,19923172.0
Camp Rock Collection,2.0,0.0,0.0
Caméra Café,1.0,0.0,0.0
Candyman Collection,3.0,39732693.0,13244231.0
Cannonball Run Collection,3.0,103335013.0,34445004.333333336
Caprinos Eventyrlige Verden,1.0,0.0,0.0
Caprona Collection,4.0,0.0,0.0
Captain America 1979 Classic Collection,2.0,0.0,0.0
Captain America Collection,3.0,2238640841.0,746213613.6666666
Captain Harlock Collection,2.0,17137302.0,8568651.0
Cardcaptor Sakura Collection,2.0,0.0,0.0
Carnosaur Collection,3.0,1753979.0,584659.6666666666
Carrie Collection,2.0,51562705.0,25781352.5
Cars Collection,3.0,1372005602.0,457335200.6666667
Cat People Collection,2.0,4000000.0,2000000.0
Cat Stevens y Hutch Bessy Trilogy,3.0,0.0,0.0
Cats & Dogs Collection,2.0,205858915.0,102929457.5
Center Stage Collection,3.0,17200925.0,5733641.666666667
Cetto La Qualunque - Collezione,2.0,8927600.0,4463800.0
Chaar Sahibzaade Collection,1.0,0.0,0.0
Charlie Chan (Warner Oland) Collection,15.0,0.0,0.0
Che Collection,2.0,0.0,0.0
Cheaper by the Dozen Collection,2.0,319393943.0,159696971.5
Cheech & Chong Collection,7.0,119943461.0,17134780.14285714
Children of the Corn Collection,9.0,20980986.0,2331220.6666666665
Chili Palmer Collection,2.0,210327738.0,105163869.0
Cinderella Collection,3.0,263591415.0,87863805.0
Cinderella Story Collection,4.0,70067909.0,17516977.25
Cirque du Soleil Collection,1.0,34153101.0,34153101.0
City Slickers Collection,2.0,179033791.0,89516895.5
Clash of the Titans Collection,2.0,533713139.0,266856569.5
Clerks Collection,2.0,30039506.0,15019753.0
Cloudy with a Chance of Meatballs Collection,2.0,491373087.0,245686543.5
Cocaine Cowboys,3.0,163000.0,54333.333333333336
Cocoon Collection,2.0,110338043.0,55169021.5
Cold Prey Collection,3.0,0.0,0.0
Cold War Collection,1.0,0.0,0.0
Conan the Barbarian Collection,3.0,186062718.0,62020906.0
Confessions Collection,4.0,0.0,0.0
Corto Maltese,4.0,0.0,0.0
Crank Collection,2.0,77491618.0,38745809.0
Creature From The Black Lagoon (Universal Series),3.0,1300000.0,433333.3333333333
Creepshow Collection,3.0,35028755.0,11676251.666666666
Critters Collection,4.0,16980525.0,4245131.25
Crocodile Dundee Collection,3.0,607248390.0,202416130.0
Cross Collection,1.0,0.0,0.0
Cross of Iron Collection,2.0,0.0,0.0
"Crouching Tiger, Hidden Dragon Collection",2.0,213525736.0,106762868.0
Crows Collection,3.0,0.0,0.0
Cruel Intentions Collection,3.0,75902208.0,25300736.0
Cube Collection,3.0,501818.0,167272.66666666666
Curious George Collection,3.0,69834815.0,23278271.666666668
Cyborg 009 Collection,1.0,0.0,0.0
Cyborg Collection,3.0,10166459.0,3388819.6666666665
DMB Collection,1.0,0.0,0.0
Daddy Day Camp Collection,2.0,182631265.0,91315632.5
Dark Rising Collection,1.0,0.0,0.0
Darkman Collection,3.0,48878502.0,16292834.0
Darko Collection,2.0,5370522.0,2685261.0
Das Sams Collection,2.0,0.0,0.0
Dead Rising Collection,2.0,0.0,0.0
Dead Snow Collection,2.0,2022135.0,1011067.5
Dead in Tombstone Collection,1.0,0.0,0.0
Deadly Prey Collection,1.0,0.0,0.0
Deadpool Collection,1.0,783112979.0,783112979.0
Death Note Collection,3.0,108734800.0,36244933.333333336
Death Note Relight,1.0,0.0,0.0
Death Race Collection,3.0,73762516.0,24587505.333333332
Death Race Original Collection,2.0,8000000.0,4000000.0
Death Wish Collection,5.0,85647565.0,17129513.0
Deathstalker Collection,4.0,8890685.0,2222671.25
Department Q series,3.0,5900000.0,1966666.6666666667
Despicable Me Collection,6.0,3691070216.0,615178369.3333334
Destricted,1.0,0.0,0.0
Detective Conan Collection,2.0,0.0,0.0
Detective Dee Collection,2.0,124011068.0,62005534.0
Detective K Collection,2.0,0.0,0.0
Deuce Bigalow Collection,2.0,87935221.0,43967610.5
Diary of a Wimpy Kid Collection,4.0,265350212.0,66337553.0
Die Fritz Lang Indien-Edition,2.0,0.0,0.0
Die Hard Collection,5.0,1435086362.0,287017272.4
Digimon Collection,1.0,0.0,0.0
Dirty Dancing Collection,2.0,241639290.0,120819645.0
Dirty Harry Collection,5.0,189622693.0,37924538.6
Disney Buddies Collection,7.0,0.0,0.0
Disneys Große Pause,1.0,44460850.0,44460850.0
District 13 Collection,2.0,18370506.0,9185253.0
Divergent Collection,3.0,763232964.0,254410988.0
Dixie Zombi - Colección,1.0,0.0,0.0
Django - Original films,2.0,17277.0,8638.5
Dolemite Collection,2.0,0.0,0.0
Dolphin Tale Collection,2.0,147828930.0,73914465.0
Don Camillo Collection,3.0,0.0,0.0
Don Collection,2.0,0.0,0.0
Doraemon Collection,1.0,83061158.0,83061158.0
Dorm Daze Collection,2.0,263941.0,131970.5
Dr. Dolittle Collection,5.0,470560949.0,94112189.8
Dr. Mabuse Collection,1.0,0.0,0.0
Dr. Phibes Collection,2.0,0.0,0.0
Dracula (Hammer Series),9.0,909413.0,101045.88888888889
Dracula (Universal Series),4.0,1012189.0,253047.25
Dracula 2000 Collection,3.0,33000337.0,11000112.333333334
Dragon Ball Collection,4.0,0.0,0.0
Dragon Ball Z (Movie) Collection,15.0,112121192.0,7474746.133333334
Dragon Ball Z OVA Collection,5.0,0.0,0.0
Dragon Nest Collection,1.0,0.0,0.0
DragonHeart Collection,4.0,115267375.0,28816843.75
Dreileben,1.0,0.0,0.0
Drunken Master Collection,3.0,0.0,0.0
Ducobu Collection,1.0,0.0,0.0
Dumb and Dumber Collection,3.0,456379899.0,152126633.0
Dungeons & Dragons Collection,3.0,15185241.0,5061747.0
Düğün Dernek Collection,1.0,0.0,0.0
East is East Collection,2.0,32067000.0,16033500.0
Easy Money Collection,3.0,0.0,0.0
Eberhofer Krimi Collection,1.0,0.0,0.0
Elektra Luxx Collection,2.0,18107.0,9053.5
Elements Trilogy,3.0,11452892.0,3817630.6666666665
Elite Squad Collection,2.0,63027681.0,31513840.5
Elizabeth Collection,2.0,156388205.0,78194102.5
Elvira Collection,1.0,5596267.0,5596267.0
Emil i Lönneberga,2.0,0.0,0.0
Emmanuelle Collection,6.0,0.0,0.0
Enter the Ninja Collection,3.0,13168027.0,4389342.333333333
Erkan & Stefan Filmreihe,2.0,4508104.0,2254052.0
Ernest Collection,9.0,51711491.0,5745721.222222222
Escape From ... Collection,2.0,92522065.0,46261032.5
Evangelion Collection,2.0,20000000.0,10000000.0
Evil Bong Collection,2.0,0.0,0.0
Evil Dead Collection,3.0,35323044.0,11774348.0
Extralarge Collection,1.0,0.0,0.0
"F*ck You, Goethe Collection",2.0,83027924.0,41513962.0
F.C. De Kampioenen Collectie,1.0,7471304.0,7471304.0
F/X Collection,2.0,20603715.0,10301857.5
Family Guy Presents Collection,2.0,0.0,0.0
Fantasia Collection,2.0,174194570.0,87097285.0
Fantastic Beasts Collection,1.0,809342332.0,809342332.0
Fantastic Four Collection,2.0,619627482.0,309813741.0
Fantomas Collection,3.0,0.0,0.0
Fantozzi Collection,10.0,0.0,0.0
"Fat, Sick & Nearly Dead",2.0,0.0,0.0
Fatal Fury Collection,1.0,0.0,0.0
Father of Four Collection,1.0,0.0,0.0
Father of the Bride Collection,2.0,165904691.0,82952345.5
FernGully Collection,2.0,32710894.0,16355447.0
Fifty Shades Collection,2.0,949833622.0,474916811.0
Final Destination Collection,5.0,605502659.0,121100531.8
Final Fantasy Collection,4.0,85401810.0,21350452.5
Finding Nemo Collection,2.0,1968906425.0,984453212.5
Firestarter Collection,2.0,17080167.0,8540083.5
Fist of the North Star: The Legends of the True Savior,5.0,862.0,172.4
Flatfoot Collection,4.0,0.0,0.0
Fletch Collection,2.0,94763848.0,47381924.0
Flodder Collection,3.0,0.0,0.0
Flower & Snake Collection,1.0,0.0,0.0
Flower Shop Mystery Collection,1.0,0.0,0.0
Flower and Snake Collection,1.0,0.0,0.0
Flowers in the Attic Collection,3.0,0.0,0.0
Flubber Collection,2.0,0.0,0.0
Footsoldier Collection,1.0,0.0,0.0
Frankenstein (Hammer Series),6.0,0.0,0.0
Frankenstein (Universal Series),5.0,12000000.0,2400000.0
Fred Collection,1.0,0.0,0.0
Free Willy Collection,3.0,153698625.0,51232875.0
Freeway Collection,2.0,0.0,0.0
French Connection Collection,2.0,53643201.0,26821600.5
French Fried Vacation,3.0,0.0,0.0
Friday Collection,3.0,121570081.0,40523360.333333336
Friday the 13th Collection,12.0,464898544.0,38741545.333333336
Fright Night (Reboot) Collection,2.0,24922237.0,12461118.5
Fright Night Collection,2.0,27906021.0,13953010.5
Fritz the Cat Collection,2.0,0.0,0.0
From Dusk Till Dawn Collection,3.0,25836616.0,8612205.333333334
Frosty the Snowman Collection,2.0,0.0,0.0
Frozen Collection,2.0,1274219009.0,637109504.5
Fu Manchu Collection,4.0,0.0,0.0
Fuga de cerebros - Collection,2.0,0.0,0.0
Futurama Collection,4.0,0.0,0.0
G.I. Joe (Live-Action) Collection,2.0,674345295.0,337172647.5
Galaxy Express 999 Collection,1.0,0.0,0.0
Gamera Films,8.0,0.0,0.0
Gangs of Wasseypur Collection,1.0,4100000.0,4100000.0
Gantz Collection,2.0,0.0,0.0
Garage Sale Mystery Collection,1.0,0.0,0.0
Garfield Collection,2.0,342506798.0,171253399.0
Get Smart Collection,2.0,0.0,0.0
Ghost Rider Collection,2.0,377955748.0,188977874.0
Ghost in the Shell Collection,3.0,12077365.0,4025788.3333333335
Ghost in the Shell: Arise,6.0,101203.0,16867.166666666668
Ghost in the Shell: Stand Alone Complex,2.0,0.0,0.0
Ghostbusters Collection,3.0,739754714.0,246584904.66666666
Ghoulies Collection,4.0,35000000.0,8750000.0
Ginger Snaps Collection,3.0,0.0,0.0
Glass Tiger collection,1.0,0.0,0.0
Goal! Collection,3.0,27610873.0,9203624.333333334
God of Gamblers Collection,1.0,4762337.0,4762337.0
Godzilla (Heisei) Collection,7.0,4100000.0,585714.2857142857
Godzilla (Millennium) Collection,6.0,10037390.0,1672898.3333333333
Godzilla (Showa) Collection,16.0,0.0,0.0
Golgo 13 Collection,1.0,0.0,0.0
Golmaal Collection,3.0,0.0,0.0
Gone in 60 Seconds Trilogy,1.0,0.0,0.0
Gor Collection,2.0,0.0,0.0
Gourmet Detective Collection,3.0,0.0,0.0
Grave Encounters Collection,2.0,0.0,0.0
Grease Collection,2.0,196985246.0,98492623.0
Green Street Hooligans Collection,3.0,3154346.0,1051448.6666666667
Grindhouse Collection,2.0,25037897.0,12518948.5
Grown Ups Collection,2.0,518414467.0,259207233.5
Grumpy Old Men Collection,2.0,0.0,0.0
Guardians of the Galaxy Collection,2.0,1636744770.0,818372385.0
Guinea Pig Collection,2.0,0.0,0.0
Gwendolyn Shepherd Collection,2.0,0.0,0.0
Hababam Sınıfı Collection,4.0,0.0,0.0
Half Past Dead Collection,2.0,0.0,0.0
Halloween (Rob Zombie Series) Collection,2.0,119675375.0,59837687.5
